Tanuló neve;E-mail cím;Telefonszám;Lakcím;Iskola neve;Szakma megnevezése;Évfolyam/Osztály;Oktatási azonosító;Születési hely;Születési dátum;Anyja neve;TAJ-szám;Adóazonosító jel;Bankszámlaszám;Szerződés kezdete;Szerződés vége
Papp Zsófia Kinga;papp.zsofia@tiszalok.edu.hu;+36 30 012 3456;4400 Nyíregyháza, Búza u. 22.;Tiszaloki SzC Vásárhelyi Pál Technikuma;Elektronikai technikus;12. C;76543210011;Tiszavasvári;2006-05-28;Kovács Mária;345 678 901;8765432111;10401010-01234567-01234500;2024-09-01;2025-06-30
Simon Richárd Olivér;simon.richard@tiszalok.edu.hu;+36 20 123 4567;4440 Tiszavasvári, Március 15. u. 8.;Tiszaloki SzC Vásárhelyi Pál Technikuma;Számítógép-szerelő;12. C;76543210012;Kisvárda;2006-10-01;Oláh Tímea;456 789 012;8765432112;10401111-12345678-12345600;2024-09-01;2025-06-30
Fekete Bettina Renáta;fekete.bettina@tiszalok.edu.hu;+36 70 234 5678;4431 Nyíregyháza-Oros, Bem u. 14.;Tiszaloki SzC Vásárhelyi Pál Technikuma;Épületgépész technikus;12. C;76543210013;Nyíregyháza;2006-02-14;Molnár Anna;567 890 123;8765432113;10401212-23456789-23456700;2024-09-01;2025-06-30
Lakatos Zoltán Imre;lakatos.zoltan@tiszalok.edu.hu;+36 30 345 6789;4516 Demecser, Dózsa György u. 1.;Tiszaloki SzC Vásárhelyi Pál Technikuma;Mechatronikai technikus;12. C;76543210014;Debrecen;2006-07-19;Farkas Katalin;678 901 234;8765432114;10401313-34567890-34567800;2024-09-01;2025-06-30
Oláh Viktória Blanka;olah.viktoria@tiszalok.edu.hu;+36 20 456 7890;4444 Demecser, Hunyadi u. 5.;Tiszaloki SzC Vásárhelyi Pál Technikuma;Vegyipari technikus;12. C;76543210015;Tiszaújváros;2006-12-09;Nagy Zsuzsa;789 012 345;8765432115;10401414-45678901-45678900;2024-09-01;2025-06-30
Rácz Dominik Árpád;racz.dominik@tiszalok.edu.hu;+36 70 567 8901;4440 Tiszavasvári, József A. u. 33.;Tiszaloki SzC Vásárhelyi Pál Technikuma;Gépész technikus;12. C;76543210016;Nyíregyháza;2006-03-27;Tóth Mária;890 123 456;8765432116;10401515-56789012-56789000;2024-09-01;2025-06-30
Sós Fanni Bernadett;sos.fanni@tiszalok.edu.hu;+36 30 678 9012;4441 Nyírtelek, Petőfi u. 21.;Tiszaloki SzC Vásárhelyi Pál Technikuma;Elektronikai technikus;12. C;76543210017;Kisvárda;2006-09-05;Horváth Anikó;901 234 567;8765432117;10401616-67890123-67890100;2024-09-01;2025-06-30
Takács Bence Márton;takacs.bence@tiszalok.edu.hu;+36 20 789 0123;4400 Nyíregyháza, Városmajor u. 7.;Tiszaloki SzC Vásárhelyi Pál Technikuma;Számítógép-szerelő;12. C;76543210018;Tiszavasvári;2006-04-11;Varga Éva;012 345 678;8765432118;10401717-78901234-78901200;2024-09-01;2025-06-30
Boros Petra Henrietta;boros.petra@tiszalok.edu.hu;+36 70 890 1234;4431 Nyíregyháza-Oros, Csokonai u. 9.;Tiszaloki SzC Vásárhelyi Pál Technikuma;Mechatronikai technikus;12. D;76543210019;Debrecen;2006-08-23;Kiss Ágnes;123 456 789;8765432119;10401818-89012345-89012300;2024-09-01;2025-06-30
Czifra Olivér Szabolcs;czifra.oliver@tiszalok.edu.hu;+36 30 901 2345;4516 Demecser, Szabadság u. 16.;Tiszaloki SzC Vásárhelyi Pál Technikuma;Épületgépész technikus;12. D;76543210020;Nyíregyháza;2006-06-30;Balogh Ilona;234 567 890;8765432120;10401919-90123456-90123400;2024-09-01;2025-06-30
